year_column,company,city,state1,title,salary_level,area,total_annual_compensation,years_of_experience,years_at_company,base_salary,stock_grant_value,bonus
2021,Vimeo,New York, NY,Business Analyst,1,General,104000,4,2,90000,10000,4000
2020,Wells Fargo,San Francisco, CA,Business Analyst,1,iOS,90000,6,1,90000,0,0
2021,Capital One,Washington, DC,Business Analyst,1,General,100000,1,1,92000,0,8000
2020,Amazon,Seattle, WA,Business Analyst,1,Operations,122000,5,0,93000,15000,14000
2021,Citi,Wilmington, DE,Business Analyst,1,fraud analyst,95000,2,2,93000,0,2000
2020,Infosys,Atlanta, GA,Business Analyst,1,Analytic,95000,12,12,93000,0,2000
2021,Microsoft,Redmond, WA,Business Analyst,1,General,101000,0,0,93000,3000,5000
2021,Splunk,San Francisco, CA,Business Analyst,1,Cloud,121000,3,2,93000,20000,10000
2021,Uber,New York, NY,Business Analyst,1,Operations,109000,5,2,93000,10000,10000
2020,Yelp,San Francisco, CA,Business Analyst,1,Internal,110000,2,0,93000,15000,3000
2021,AIG,Los Angeles, CA,Business Analyst,1,GENERAL,102000,11,2,94000,0,8000
2021,Amazon,Tempe, AZ,Business Analyst,1,Supply chain,125000,4,0,94000,7000,24000
2020,BCG,Atlanta, GA,Business Analyst,1,Product,119000,5,3,94000,0,25000
2021,IBM,Atlanta, GA,Business Analyst,1,Analytic,94000,2,2,94000,0,0
2021,Procore Technologies,Carpinteria, CA,Business Analyst,1,Business Intelligence Analyst,94000,5,2,94000,0,0
2020,Vimeo,New York, NY,Business Analyst,1,Sales Ops,99000,5,1,94000,0,5000
2021,Zulily,Seattle, WA,Business Analyst,1,Supply Chain,99000,3,1,94000,0,5000
2021,Accenture,New York, NY,Business Analyst,1,General,100000,2,2,95000,0,5000
2020,Amazon,Seattle, WA,Business Analyst,1,Analytic,130000,5,0,95000,30000,3000
2021,Comcast,Philadelphia, PA,Business Analyst,1,Data Analytics,103000,6,5,95000,3000,5000
2020,Comcast,Philadelphia, PA,Business Analyst,1,Analytic,110000,5,3,95000,10000,5000
2020,Goldman Sachs,New York, NY,Business Analyst,1,Private Equity,130000,2,2,95000,0,35000
2021,Goldman Sachs,New York, NY,Business Analyst,1,Asset Management,125000,1,1,95000,0,30000
2021,Grubhub,Chicago, IL,Business Analyst,1,General,95000,6,3,95000,0,0
2020,Intuit,San Francisco, CA,Business Analyst,1,Analytics,110000,1,1,95000,0,15000
2021,JP Morgan Chase,Dallas, TX,Business Analyst,1,Product,102000,5,3,95000,0,7000
2020,Kaiser Permanente,Oakland, CA,Business Analyst,1,Analytic,102000,3,3,95000,0,7000
2020,Ultimate Software,Weston, FL,Business Analyst,1,Product,100000,5,2,95000,5000,0
2020,Wells Fargo,Charlotte, NC,Business Analyst,1,Analytic,95000,6,2,95000,5000,0
2020,Boeing,Arlington, VA,Business Analyst,1,Growth,96000,6,6,96000,0,0
2020,Capital One,New York, NY,Business Analyst,1,Analytic,102000,1,1,96000,2000,4000
2021,Adobe,San Francisco, CA,Business Analyst,1,Sales Operations,125000,2,2,97000,18000,10000
2020,Maxim Integrated,San Jose, CA,Business Analyst,1,Supply Chain,107000,5,2,97000,0,10000
2020,Mphasis,New York, NY,Business Analyst,1,Product,97000,17,13,97000,0,0
2021,Expedia,Seattle, WA,Business Analyst,1,Data,121000,0,0,98000,10000,13000
2020,Facebook,Austin, TX,Business Analyst,1,Operations,116000,3,0,98000,9000,10000
2021,Facebook,Austin, TX,Business Analyst,1,Ads,126000,5,4,98000,13000,15000
2021,Lyft,Seattle, WA,Business Analyst,1,Product,138000,5,0,98000,35000,5000
2021,Lyft,Seattle, WA,Business Analyst,1,Product,138000,5,0,98000,35000,5000
2021,Siemens,Lexington, KY,Business Analyst,1,Sales,100000,3,2,99000,0,1000
